[Name]
Data_MOI3_titers

[Notes]
Viral titers of an influenza A virus infection of an MDCK cell culture at MOI 3 performed according to Frensing et al., Appl Microbiol Biotechnol, 2016. 

[Components]
time, V1, V2, V3, Par1, Par2, Par3

[Componentnotes]

[Values]
0,,,,,,
3,1.00E+04,1.54E+04,,,,
4,,,3.20E+04,,,
6,2.50E+05,4.45E+04,,,,
8,,,3.20E+08,,,7.26E+08
9,1.30E+08,3.88E+07,,4.91E+08,1.07E+08,
12,6.90E+08,2.62E+08,8.80E+08,2.90E+09,9.92E+08,4.37E+09
15,1.12E+09,,,6.21E+09,,
16,,,1.31E+09,,,8.18E+09
18,1.44E+09,,,9.04E+09,,
20,,,1.63E+09,,,1.17E+10
21,1.76E+09,,,1.15E+10,,
24,2.00E+09,1.58E+09,1.95E+09,1.41E+10,1.32E+10,1.50E+10
27,2.08E+09,1.80E+09,,1.68E+10,1.61E+10,
28,,,2.05E+09,,,1.73E+10
30,2.10E+09,1.90E+09,,1.93E+10,1.81E+10,
32,,,2.09E+09,,,1.91E+10
33,2.10E+09,1.96E+09,,2.04E+10,1.92E+10,
36,2.11E+09,,2.11E+09,2.11E+10,,2.00E+10
39,2.11E+09,,,2.13E+10,,
40,,,2.11E+09,,,2.05E+10
42,2.11E+09,,,2.13E+10,,
44,,,2.12E+09,,,2.08E+10
48,2.11E+09,1.99E+09,2.12E+09,2.13E+10,2.00E+10,2.09E+10
51,,1.99E+09,,,2.01E+10,
54,2.11E+09,,,2.13E+10,,
57,,1.99E+09,,,2.01E+10,
60,2.11E+09,,,2.13E+10,,
72,2.11E+09,1.99E+09,,2.13E+10,2.01E+10,NaN

